Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2000,1,28,5,1647,1647,1906,1859,HP,154,N808AW,259,252,233,7,0,ATL,PHX,1587,15,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,29,6,1648,1647,1939,1859,HP,154,N653AW,291,252,239,40,1,ATL,PHX,1587,5,47,0,NA,0,NA,NA,NA,NA,NA
2000,1,30,7,NA,1647,NA,1859,HP,154,N801AW,NA,252,NA,NA,NA,ATL,PHX,1587,0,0,1,NA,0,NA,NA,NA,NA,NA
2000,1,31,1,1645,1647,1852,1859,HP,154,N806AW,247,252,226,-7,-2,ATL,PHX,1587,7,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,1,6,842,846,1057,1101,HP,609,N158AW,255,255,244,-4,-4,ATL,PHX,1587,3,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,849,846,1148,1101,HP,609,N656AW,299,255,267,47,3,ATL,PHX,1587,8,24,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,844,846,1121,1101,HP,609,N803AW,277,255,244,20,-2,ATL,PHX,1587,6,27,0,NA,0,NA,NA,NA,NA,NA
2000,1,1,6,1702,1657,1912,1908,HP,611,N652AW,250,251,232,4,5,ATL,PHX,1587,5,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,1658,1657,1901,1908,HP,611,N807AW,243,251,233,-7,1,ATL,PHX,1587,3,7,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,1656,1657,1922,1908,HP,611,N807AW,266,251,241,14,-1,ATL,PHX,1587,5,20,0,NA,0,NA,NA,NA,NA,NA
2000,1,4,2,1955,1932,2230,2153,HP,613,N509DC,275,261,232,37,23,ATL,PHX,1587,5,38,0,NA,0,NA,NA,NA,NA,NA
2000,1,5,3,1934,1932,2133,2153,HP,613,N509DC,239,261,224,-20,2,ATL,PHX,1587,5,10,0,NA,0,NA,NA,NA,NA,NA
2000,1,6,4,1929,1932,2125,2153,HP,613,N303AW,236,261,220,-28,-3,ATL,PHX,1587,5,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,7,5,1932,1932,2146,2153,HP,613,N173AW,254,261,237,-7,0,ATL,PHX,1587,4,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,9,7,2008,1932,2221,2153,HP,613,N168AW,253,261,237,28,36,ATL,PHX,1587,4,12,0,NA,0,NA,NA,NA,NA,NA
2000,1,10,1,1926,1932,2147,2153,HP,613,N160AW,261,261,235,-6,-6,ATL,PHX,1587,7,19,0,NA,0,NA,NA,NA,NA,NA
2000,1,11,2,1932,1932,2126,2153,HP,613,N160AW,234,261,217,-27,0,ATL,PHX,1587,6,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,12,3,1936,1932,2142,2153,HP,613,N322AW,246,261,227,-11,4,ATL,PHX,1587,7,12,0,NA,0,NA,NA,NA,NA,NA
2000,1,13,4,1942,1932,2153,2153,HP,613,N160AW,251,261,220,0,10,ATL,PHX,1587,5,26,0,NA,0,NA,NA,NA,NA,NA
2000,1,14,5,1932,1932,2131,2153,HP,613,N314AW,239,261,218,-22,0,ATL,PHX,1587,6,15,0,NA,0,NA,NA,NA,NA,NA
2000,1,16,7,2009,1932,2202,2153,HP,613,N150AW,233,261,212,9,37,ATL,PHX,1587,4,17,0,NA,0,NA,NA,NA,NA,NA
2000,1,17,1,1943,1932,2148,2153,HP,613,N150AW,245,261,222,-5,11,ATL,PHX,1587,6,17,0,NA,0,NA,NA,NA,NA,NA
2000,1,18,2,1932,1932,2153,2153,HP,613,N168AW,261,261,238,0,0,ATL,PHX,1587,8,15,0,NA,0,NA,NA,NA,NA,NA
2000,1,19,3,1935,1932,2210,2153,HP,613,N168AW,275,261,243,17,3,ATL,PHX,1587,7,25,0,NA,0,NA,NA,NA,NA,NA
2000,1,20,4,1951,1932,2214,2153,HP,613,N168AW,263,261,227,21,19,ATL,PHX,1587,4,32,0,NA,0,NA,NA,NA,NA,NA
2000,1,21,5,1930,1932,2148,2153,HP,613,N323AW,258,261,238,-5,-2,ATL,PHX,1587,6,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,23,7,1955,1932,2232,2153,HP,613,N165AW,277,261,246,39,23,ATL,PHX,1587,8,23,0,NA,0,NA,NA,NA,NA,NA
2000,1,24,1,1947,1932,2230,2153,HP,613,N167AW,283,261,240,37,15,ATL,PHX,1587,5,38,0,NA,0,NA,NA,NA,NA,NA
2000,1,25,2,1932,1932,2157,2153,HP,613,N308AW,265,261,248,4,0,ATL,PHX,1587,6,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,26,3,2000,1932,2232,2153,HP,613,N308AW,272,261,230,39,28,ATL,PHX,1587,4,38,0,NA,0,NA,NA,NA,NA,NA
2000,1,27,4,1935,1932,2148,2153,HP,613,N327AW,253,261,240,-5,3,ATL,PHX,1587,5,8,0,NA,0,NA,NA,NA,NA,NA
2000,1,28,5,2005,1932,2237,2153,HP,613,N329AW,272,261,253,44,33,ATL,PHX,1587,5,14,0,NA,0,NA,NA,NA,NA,NA
2000,1,30,7,1942,1932,2203,2153,HP,613,N331AW,261,261,239,10,10,ATL,PHX,1587,6,16,0,NA,0,NA,NA,NA,NA,NA
2000,1,31,1,1945,1932,2152,2153,HP,613,N331AW,247,261,225,-1,13,ATL,PHX,1587,6,16,0,NA,0,NA,NA,NA,NA,NA
2000,1,2,7,2105,1935,2313,2145,HP,615,N804AW,248,250,232,88,90,ATL,PHX,1587,5,11,0,NA,0,NA,NA,NA,NA,NA
2000,1,3,1,2034,1935,2313,2145,HP,615,N802AW,279,250,258,88,59,ATL,PHX,1587,3,18,0,NA,0,NA,NA,NA,NA,NA
2000,1,4,2,1010,826,1219,1039,HP,2027,N624AW,249,253,226,100,104,ATL,PHX,1587,4,19,0,NA,0,NA,NA,NA,NA,NA
2000,1,5,3,827,826,1047,1039,HP,2027,N651AW,260,253,230,8,1,ATL,PHX,1587,9,21,0,NA,0,NA,NA,NA,NA,NA
2000,1,6,4,826,826,1057,1039,HP,2027,N633AW,271,253,249,18,0,ATL,PHX,1587,4,18,0,NA,0,NA,NA,NA,NA,NA
2000,1,7,5,831,826,1100,1039,HP,2027,N651AW,269,253,252,21,5,ATL,PHX,1587,4,13,0,NA,0,NA,NA,NA,NA,NA
2000,1,10,1,935,826,1150,1039,HP,2027,N633AW,255,253,239,71,69,ATL,PHX,1587,4,12,0,NA,0,NA,NA,NA,NA,NA
